
Section	Id	Action
Main	4	Track: Set volume for selected tracks (MIDI CC/OSC only)
Main	5	Track: Set pan for selected tracks (MIDI CC/OSC only)
Main	6	Track: Toggle mute for selected tracks
Main	7	Track: Toggle solo for selected tracks
Main	8	Track: Toggle FX bypass for selected tracks
Main	9	Track: Toggle record arm for selected tracks
Main	10	Track: Set mute for selected tracks (MIDI CC/OSC only)
Main	11	Track: Set solo for selected tracks (MIDI CC/OSC only)
Main	12	Track: Set volume for master track (MIDI CC/OSC only)
Main	13	Track: Set pan for master track (MIDI CC/OSC only)
Main	14	Track: Toggle mute for master track
Main	15	Track: Toggle solo for master track
Main	16	Track: Toggle FX bypass for master track
Main	18	Track: Set mute for master track (MIDI CC/OSC only)
Main	19	Track: Set solo for master track (MIDI CC/OSC only)
Main	20	Track: Set volume for track 01 (MIDI CC/OSC only)
Main	21	Track: Set pan for track 01 (MIDI CC/OSC only)
Main	22	Track: Toggle mute for track 01
Main	23	Track: Toggle solo for track 01
Main	24	Track: Toggle FX bypass for track 01
Main	25	Track: Toggle record arm for track 01
Main	26	Track: Set mute for track 01 (MIDI CC/OSC only)
Main	27	Track: Set solo for track 01 (MIDI CC/OSC only)
Main	28	Track: Set volume for track 02 (MIDI CC/OSC only)
Main	29	Track: Set pan for track 02 (MIDI CC/OSC only)
Main	30	Track: Toggle mute for track 02
Main	31	Track: Toggle solo for track 02
Main	32	Track: Toggle FX bypass for track 02
Main	33	Track: Toggle record arm for track 02
Main	34	Track: Set mute for track 02 (MIDI CC/OSC only)
Main	35	Track: Set solo for track 02 (MIDI CC/OSC only)
Main	36	Track: Set volume for track 03 (MIDI CC/OSC only)
Main	37	Track: Set pan for track 03 (MIDI CC/OSC only)
Main	38	Track: Toggle mute for track 03
Main	39	Track: Toggle solo for track 03
Main	40	Track: Toggle FX bypass for track 03
Main	41	Track: Toggle record arm for track 03
Main	42	Track: Set mute for track 03 (MIDI CC/OSC only)
Main	43	Track: Set solo for track 03 (MIDI CC/OSC only)
Main	44	Track: Set volume for track 04 (MIDI CC/OSC only)
Main	45	Track: Set pan for track 04 (MIDI CC/OSC only)
Main	46	Track: Toggle mute for track 04
Main	47	Track: Toggle solo for track 04
Main	48	Track: Toggle FX bypass for track 04
Main	49	Track: Toggle record arm for track 04
Main	50	Track: Set mute for track 04 (MIDI CC/OSC only)
Main	51	Track: Set solo for track 04 (MIDI CC/OSC only)
Main	52	Track: Set volume for track 05 (MIDI CC/OSC only)
Main	53	Track: Set pan for track 05 (MIDI CC/OSC only)
Main	54	Track: Toggle mute for track 05
Main	55	Track: Toggle solo for track 05
Main	56	Track: Toggle FX bypass for track 05
Main	57	Track: Toggle record arm for track 05
Main	58	Track: Set mute for track 05 (MIDI CC/OSC only)
Main	59	Track: Set solo for track 05 (MIDI CC/OSC only)
Main	60	Track: Set volume for track 06 (MIDI CC/OSC only)
Main	61	Track: Set pan for track 06 (MIDI CC/OSC only)
Main	62	Track: Toggle mute for track 06
Main	63	Track: Toggle solo for track 06
Main	64	Track: Toggle FX bypass for track 06
Main	65	Track: Toggle record arm for track 06
Main	66	Track: Set mute for track 06 (MIDI CC/OSC only)
Main	67	Track: Set solo for track 06 (MIDI CC/OSC only)
Main	68	Track: Set volume for track 07 (MIDI CC/OSC only)
Main	69	Track: Set pan for track 07 (MIDI CC/OSC only)
Main	70	Track: Toggle mute for track 07
Main	71	Track: Toggle solo for track 07
Main	72	Track: Toggle FX bypass for track 07
Main	73	Track: Toggle record arm for track 07
Main	74	Track: Set mute for track 07 (MIDI CC/OSC only)
Main	75	Track: Set solo for track 07 (MIDI CC/OSC only)
Main	76	Track: Set volume for track 08 (MIDI CC/OSC only)
Main	77	Track: Set pan for track 08 (MIDI CC/OSC only)
Main	78	Track: Toggle mute for track 08
Main	79	Track: Toggle solo for track 08
Main	80	Track: Toggle FX bypass for track 08
Main	81	Track: Toggle record arm for track 08
Main	82	Track: Set mute for track 08 (MIDI CC/OSC only)
Main	83	Track: Set solo for track 08 (MIDI CC/OSC only)
Main	84	Track: Set volume for track 09 (MIDI CC/OSC only)
Main	85	Track: Set pan for track 09 (MIDI CC/OSC only)
Main	86	Track: Toggle mute for track 09
Main	87	Track: Toggle solo for track 09
Main	88	Track: Toggle FX bypass for track 09
Main	89	Track: Toggle record arm for track 09
Main	90	Track: Set mute for track 09 (MIDI CC/OSC only)
Main	91	Track: Set solo for track 09 (MIDI CC/OSC only)
Main	92	Track: Set volume for track 10 (MIDI CC/OSC only)
Main	93	Track: Set pan for track 10 (MIDI CC/OSC only)
Main	94	Track: Toggle mute for track 10
Main	95	Track: Toggle solo for track 10
Main	96	Track: Toggle FX bypass for track 10
Main	97	Track: Toggle record arm for track 10
Main	98	Track: Set mute for track 10 (MIDI CC/OSC only)
Main	99	Track: Set solo for track 10 (MIDI CC/OSC only)
Main	100	Track: Set volume for track 11 (MIDI CC/OSC only)
Main	101	Track: Set pan for track 11 (MIDI CC/OSC only)
Main	102	Track: Toggle mute for track 11
Main	103	Track: Toggle solo for track 11
Main	104	Track: Toggle FX bypass for track 11
Main	105	Track: Toggle record arm for track 11
Main	106	Track: Set mute for track 11 (MIDI CC/OSC only)
Main	107	Track: Set solo for track 11 (MIDI CC/OSC only)
Main	108	Track: Set volume for track 12 (MIDI CC/OSC only)
Main	109	Track: Set pan for track 12 (MIDI CC/OSC only)
Main	110	Track: Toggle mute for track 12
Main	111	Track: Toggle solo for track 12
Main	112	Track: Toggle FX bypass for track 12
Main	113	Track: Toggle record arm for track 12
Main	114	Track: Set mute for track 12 (MIDI CC/OSC only)
Main	115	Track: Set solo for track 12 (MIDI CC/OSC only)
Main	116	Track: Set volume for track 13 (MIDI CC/OSC only)
Main	117	Track: Set pan for track 13 (MIDI CC/OSC only)
Main	118	Track: Toggle mute for track 13
Main	119	Track: Toggle solo for track 13
Main	120	Track: Toggle FX bypass for track 13
Main	121	Track: Toggle record arm for track 13
Main	122	Track: Set mute for track 13 (MIDI CC/OSC only)
Main	123	Track: Set solo for track 13 (MIDI CC/OSC only)
Main	124	Track: Set volume for track 14 (MIDI CC/OSC only)
Main	125	Track: Set pan for track 14 (MIDI CC/OSC only)
Main	126	Track: Toggle mute for track 14
Main	127	Track: Toggle solo for track 14
Main	128	Track: Toggle FX bypass for track 14
Main	129	Track: Toggle record arm for track 14
Main	130	Track: Set mute for track 14 (MIDI CC/OSC only)
Main	131	Track: Set solo for track 14 (MIDI CC/OSC only)
Main	132	Track: Set volume for track 15 (MIDI CC/OSC only)
Main	133	Track: Set pan for track 15 (MIDI CC/OSC only)
Main	134	Track: Toggle mute for track 15
Main	135	Track: Toggle solo for track 15
Main	136	Track: Toggle FX bypass for track 15
Main	137	Track: Toggle record arm for track 15
Main	138	Track: Set mute for track 15 (MIDI CC/OSC only)
Main	139	Track: Set solo for track 15 (MIDI CC/OSC only)
Main	140	Track: Set volume for track 16 (MIDI CC/OSC only)
Main	141	Track: Set pan for track 16 (MIDI CC/OSC only)
Main	142	Track: Toggle mute for track 16
Main	143	Track: Toggle solo for track 16
Main	144	Track: Toggle FX bypass for track 16
Main	145	Track: Toggle record arm for track 16
Main	146	Track: Set mute for track 16 (MIDI CC/OSC only)
Main	147	Track: Set solo for track 16 (MIDI CC/OSC only)
Main	148	Track: Set volume for track 17 (MIDI CC/OSC only)
Main	149	Track: Set pan for track 17 (MIDI CC/OSC only)
Main	150	Track: Toggle mute for track 17
Main	151	Track: Toggle solo for track 17
Main	152	Track: Toggle FX bypass for track 17
Main	153	Track: Toggle record arm for track 17
Main	154	Track: Set mute for track 17 (MIDI CC/OSC only)
Main	155	Track: Set solo for track 17 (MIDI CC/OSC only)
Main	156	Track: Set volume for track 18 (MIDI CC/OSC only)
Main	157	Track: Set pan for track 18 (MIDI CC/OSC only)
Main	158	Track: Toggle mute for track 18
Main	159	Track: Toggle solo for track 18
Main	160	Track: Toggle FX bypass for track 18
Main	161	Track: Toggle record arm for track 18
Main	162	Track: Set mute for track 18 (MIDI CC/OSC only)
Main	163	Track: Set solo for track 18 (MIDI CC/OSC only)
Main	164	Track: Set volume for track 19 (MIDI CC/OSC only)
Main	165	Track: Set pan for track 19 (MIDI CC/OSC only)
Main	166	Track: Toggle mute for track 19
Main	167	Track: Toggle solo for track 19
Main	168	Track: Toggle FX bypass for track 19
Main	169	Track: Toggle record arm for track 19
Main	170	Track: Set mute for track 19 (MIDI CC/OSC only)
Main	171	Track: Set solo for track 19 (MIDI CC/OSC only)
Main	172	Track: Set volume for track 20 (MIDI CC/OSC only)
Main	173	Track: Set pan for track 20 (MIDI CC/OSC only)
Main	174	Track: Toggle mute for track 20
Main	175	Track: Toggle solo for track 20
Main	176	Track: Toggle FX bypass for track 20
Main	177	Track: Toggle record arm for track 20
Main	178	Track: Set mute for track 20 (MIDI CC/OSC only)
Main	179	Track: Set solo for track 20 (MIDI CC/OSC only)
Main	180	Track: Set volume for track 21 (MIDI CC/OSC only)
Main	181	Track: Set pan for track 21 (MIDI CC/OSC only)
Main	182	Track: Toggle mute for track 21
Main	183	Track: Toggle solo for track 21
Main	184	Track: Toggle FX bypass for track 21
Main	185	Track: Toggle record arm for track 21
Main	186	Track: Set mute for track 21 (MIDI CC/OSC only)
Main	187	Track: Set solo for track 21 (MIDI CC/OSC only)
Main	188	Track: Set volume for track 22 (MIDI CC/OSC only)
Main	189	Track: Set pan for track 22 (MIDI CC/OSC only)
Main	190	Track: Toggle mute for track 22
Main	191	Track: Toggle solo for track 22
Main	192	Track: Toggle FX bypass for track 22
Main	193	Track: Toggle record arm for track 22
Main	194	Track: Set mute for track 22 (MIDI CC/OSC only)
Main	195	Track: Set solo for track 22 (MIDI CC/OSC only)
Main	196	Track: Set volume for track 23 (MIDI CC/OSC only)
Main	197	Track: Set pan for track 23 (MIDI CC/OSC only)
Main	198	Track: Toggle mute for track 23
Main	199	Track: Toggle solo for track 23
Main	200	Track: Toggle FX bypass for track 23
Main	201	Track: Toggle record arm for track 23
Main	202	Track: Set mute for track 23 (MIDI CC/OSC only)
Main	203	Track: Set solo for track 23 (MIDI CC/OSC only)
Main	204	Track: Set volume for track 24 (MIDI CC/OSC only)
Main	205	Track: Set pan for track 24 (MIDI CC/OSC only)
Main	206	Track: Toggle mute for track 24
Main	207	Track: Toggle solo for track 24
Main	208	Track: Toggle FX bypass for track 24
Main	209	Track: Toggle record arm for track 24
Main	210	Track: Set mute for track 24 (MIDI CC/OSC only)
Main	211	Track: Set solo for track 24 (MIDI CC/OSC only)
Main	212	Track: Set volume for track 25 (MIDI CC/OSC only)
Main	213	Track: Set pan for track 25 (MIDI CC/OSC only)
Main	214	Track: Toggle mute for track 25
Main	215	Track: Toggle solo for track 25
Main	216	Track: Toggle FX bypass for track 25
Main	217	Track: Toggle record arm for track 25
Main	218	Track: Set mute for track 25 (MIDI CC/OSC only)
Main	219	Track: Set solo for track 25 (MIDI CC/OSC only)
Main	220	Track: Set volume for track 26 (MIDI CC/OSC only)
Main	221	Track: Set pan for track 26 (MIDI CC/OSC only)
Main	222	Track: Toggle mute for track 26
Main	223	Track: Toggle solo for track 26
Main	224	Track: Toggle FX bypass for track 26
Main	225	Track: Toggle record arm for track 26
Main	226	Track: Set mute for track 26 (MIDI CC/OSC only)
Main	227	Track: Set solo for track 26 (MIDI CC/OSC only)
Main	228	Track: Set volume for track 27 (MIDI CC/OSC only)
Main	229	Track: Set pan for track 27 (MIDI CC/OSC only)
Main	230	Track: Toggle mute for track 27
Main	231	Track: Toggle solo for track 27
Main	232	Track: Toggle FX bypass for track 27
Main	233	Track: Toggle record arm for track 27
Main	234	Track: Set mute for track 27 (MIDI CC/OSC only)
Main	235	Track: Set solo for track 27 (MIDI CC/OSC only)
Main	236	Track: Set volume for track 28 (MIDI CC/OSC only)
Main	237	Track: Set pan for track 28 (MIDI CC/OSC only)
Main	238	Track: Toggle mute for track 28
Main	239	Track: Toggle solo for track 28
Main	240	Track: Toggle FX bypass for track 28
Main	241	Track: Toggle record arm for track 28
Main	242	Track: Set mute for track 28 (MIDI CC/OSC only)
Main	243	Track: Set solo for track 28 (MIDI CC/OSC only)
Main	244	Track: Set volume for track 29 (MIDI CC/OSC only)
Main	245	Track: Set pan for track 29 (MIDI CC/OSC only)
Main	246	Track: Toggle mute for track 29
Main	247	Track: Toggle solo for track 29
Main	248	Track: Toggle FX bypass for track 29
Main	249	Track: Toggle record arm for track 29
Main	250	Track: Set mute for track 29 (MIDI CC/OSC only)
Main	251	Track: Set solo for track 29 (MIDI CC/OSC only)
Main	252	Track: Set volume for track 30 (MIDI CC/OSC only)
Main	253	Track: Set pan for track 30 (MIDI CC/OSC only)
Main	254	Track: Toggle mute for track 30
Main	255	Track: Toggle solo for track 30
Main	256	Track: Toggle FX bypass for track 30
Main	257	Track: Toggle record arm for track 30
Main	258	Track: Set mute for track 30 (MIDI CC/OSC only)
Main	259	Track: Set solo for track 30 (MIDI CC/OSC only)
Main	260	Track: Set volume for track 31 (MIDI CC/OSC only)
Main	261	Track: Set pan for track 31 (MIDI CC/OSC only)
Main	262	Track: Toggle mute for track 31
Main	263	Track: Toggle solo for track 31
Main	264	Track: Toggle FX bypass for track 31
Main	265	Track: Toggle record arm for track 31
Main	266	Track: Set mute for track 31 (MIDI CC/OSC only)
